Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Kursleiter1;Kursleiter2;Kursleiter3;Kursleiter4;Kategorie;Beschreibung;Sparte;Trainerzahl
0;Reha;17:45:00;18:30:00;Dienstag;ARTICO 2er;15;NULL;NULL;NULL;;;Fitness und Gesundheit;1
0;Reha;10:00:00;10:45:00;Donnerstag;ARTICO 2er;17;NULL;NULL;NULL;Ferienkurs;;Fitness und Gesundheit;1
0;Reha-Sport;10:00:00;10:45:00;Mittwoch;ARTICO 1er;24;NULL;NULL;NULL;;;Fitness und Gesundheit;1
0;Rückbildung1;09:15:00;10:15:00;Mittwoch;ARTICO 4er;10;NULL;NULL;NULL;;;Fitness und Gesundheit;1
0;RückenFit;18:30:00;19:30:00;Donnerstag;ARTICO 3er;10;NULL;NULL;NULL;;;Fitness und Gesundheit;1
0;Rüdiger;14:00:00;14:45:00;Montag;ARTICO 2er;NULL;NULL;NULL;NULL;;;;0
0;SVE-Tanz;14:15:00;15:15:00;Mittwoch;Sonderpädagogisches Förderzentrum;20;NULL;NULL;NULL;;;Projekt;1
0;SVE-Turnen;13:15:00;14:45:00;Mittwoch;ARTICO 1er;1;NULL;NULL;NULL;;;Projekt;1
0;Tanzen Einsteiger;16:30:00;17:30:00;Sonntag;ARTICO 1er;20;55;NULL;NULL;;;Gesellschaftstanz;2
0;aktiver Rücken;19:30:00;20:30:00;Donnerstag;ARTICO 3er;10;NULL;NULL;NULL;;;Fitness und Gesundheit;1
1;Pilates;08:30:00;09:30:00;Dienstag;ARTICO 1er;3;NULL;NULL;NULL;;;Fitness und Gesundheit;1
2;Ballett Advanced;17:00:00;19:00:00;Mittwoch;ARTICO 4er;12;NULL;NULL;NULL;;;Ballett;1
3;Wirbelsäule;09:00:00;10:00:00;Donnerstag;ARTICO 1er;8;NULL;NULL;NULL;;;Fitness und Gesundheit;1
4;Artistik für Erwachsene;20:30:00;21:30:00;Donnerstag;ARTICO 3er;5;NULL;NULL;NULL;;;Circus;1
5;Circusminis;15:45:00;16:30:00;Montag;ARTICO 1er;9;36;35;NULL;;;Circus;3
6;Circusjuniors Freystadt;17:00:00;18:00:00;Donnerstag;Freystadt;29;54;NULL;NULL;;;Circus;2
7;Einrad Anfänger;16:45:00;17:30:00;Donnerstag;ARTICO 5er;4;NULL;NULL;NULL;;;Circus;1
8;Beckenboden;19:00:00;20:00:00;Montag;ARTICO 4er;10;NULL;NULL;NULL;;;Fitness und Gesundheit;1
9;Turngarten;10:15:00;11:00:00;Montag;ARTICO 1er;9;NULL;NULL;NULL;;;Circus;1
10;RückenReha;18:15:00;19:00:00;Donnerstag;ARTICO 1er;15;NULL;NULL;NULL;;;Fitness und Gesundheit;1
11;Ballett Arabesque;17:00:00;18:00:00;Mittwoch;ARTICO 2er;14;NULL;NULL;NULL;;;Ballett;1
12;Circusteens;16:00:00;17:00:00;Donnerstag;ARTICO 2er;3;50;NULL;NULL;;;Circus;2
13;Circusteens;16:30:00;17:30:00;Dienstag;ARTICO 1er;9;40;NULL;NULL;;;Circus;2
14;Reha;19:00:00;19:45:00;Montag;ARTICO 3er;37;NULL;NULL;NULL;;;Fitness und Gesundheit;1
15;Pilates;18:30:00;19:30:00;Mittwoch;ARTICO 1er;3;NULL;NULL;NULL;;;Fitness und Gesundheit;1
17;Circussternchen Berching;15:45:00;16:30:00;Mittwoch;Berching;5;48;NULL;NULL;;;Circus;2
18;Salsa LA Advanced;20:30:00;22:00:00;Mittwoch;ARTICO 1er;14;7;NULL;NULL;;;Salsa Neumarkt;2
19;Kindertanzclub Juniors;17:30:00;18:30:00;Dienstag;ARTICO 1er;20;NULL;NULL;NULL;;;Gesellschaftstanz;1
20;Circusjuniors Freystadt;16:00:00;17:00:00;Donnerstag;Freystadt;29;54;NULL;NULL;;;Circus;2
21;HipHop Kids;15:00:00;16:00:00;Mittwoch;ARTICO 5er;7;NULL;NULL;NULL;;;Hip Hop;1
22;Ballett Spitze;19:30:00;20:00:00;Donnerstag;ARTICO 4er;19;NULL;NULL;NULL;;;Ballett;1
23;Circusteens;17:15:00;18:15:00;Mittwoch;ARTICO 3er;13;45;NULL;NULL;;;Circus;2
24;HipHop Juniors;16:00:00;17:00:00;Mittwoch;ARTICO 5er;7;NULL;NULL;NULL;;;Hip Hop;1
26;HipHop Fortgeschritten;17:00:00;18:00:00;Mittwoch;ARTICO 5er;7;NULL;NULL;NULL;;;Hip Hop;1
27;Ballett Company;17:45:00;18:15:00;Freitag;ARTICO 4er;12;NULL;NULL;NULL;;;Ballett;1
28;Circusjuniors;16:30:00;17:30:00;Montag;ARTICO 1er;9;36;35;NULL;;;Circus;3
29;Salsa Cubana & Rueda;19:30:00;20:30:00;Dienstag;ARTICO 2er;19;NULL;NULL;NULL;;;Salsa Neumarkt;1
30;Ballettkids Postbauer-Heng;15:30:00;16:15:00;Donnerstag;Postbauer-Heng;14;NULL;NULL;NULL;;;Ballett;1
31;Circusturnen Altdorf;16:00:00;17:00:00;Donnerstag;Altdorf;17;74;53;NULL;;;Circus;3
