Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Kursleiter1;Kursleiter2;Kursleiter3;Kursleiter4;Kategorie;Beschreibung;Kommentar;Trainerzahl
1;Pilates;08:30:00;09:30:00;Dienstag;ARTICO 1er;3;;;;;;;1
2;Ballett Advanced;17:00:00;19:00:00;Mittwoch;ARTICO 4er;12;;;;;;;1
3;Wirbelsäule;09:00:00;10:00:00;Donnerstag;ARTICO 1er;8;;;;;;;1
4;Artistik für Erwachsene;20:30:00;21:30:00;Donnerstag;ARTICO 3er;5;;;;;;;1
5;Circusminis;15:45:00;16:30:00;Montag;ARTICO 1er;9;36;35;;;;;3
7;Einrad Anfänger;16:45:00;17:30:00;Donnerstag;ARTICO 5er;4;;;;;;;1
9;Turngarten;10:15:00;11:00:00;Montag;ARTICO 1er;9;;;;;;;1
10;Rückenfit;18:30:00;19:30:00;Donnerstag;ARTICO 3er;15;;;;;;;1
11;Ballett Arabesque;17:00:00;18:00:00;Mittwoch;ARTICO 2er;14;;;;;;;1
12;Circusteens;16:00:00;17:00:00;Donnerstag;ARTICO 2er;3;50;;;;;;2
13;Circusteens;16:30:00;17:30:00;Dienstag;ARTICO 1er;9;40;;;;;;2
15;Pilates;18:30:00;19:30:00;Montag;ARTICO 1er;3;;;;;;;1
17;Circussternchen Berching;15:45:00;16:30:00;Mittwoch;Berching;5;48;;;;;;2
84;Circussternchen Berching;15:45:00;16:30:00;Mittwoch;Berching;49;1;;;;;;2
101;Kindertanzkurs Minis;17:30:00;18:30:00;Dienstag;ARTICO 5er;20;;;;;;;1
20;Circusjuniors Freystadt;16:00:00;17:00:00;Donnerstag;Freystadt;29;54;;;;;;2
21;HipHop Kids;15:00:00;16:00:00;Mittwoch;ARTICO 5er;7;;;;;;;1
22;Ballett Spitze;19:30:00;20:00:00;Donnerstag;ARTICO 4er;19;;;;;;PRÜFEN!!!;1
23;Circusteens;17:15:00;18:15:00;Mittwoch;ARTICO 3er;13;45;;;;;;2
24;HipHop Juniors;16:00:00;17:00:00;Mittwoch;ARTICO 5er;7;;;;;;;1
26;HipHop Fortgeschritten;17:00:00;18:00:00;Mittwoch;ARTICO 5er;7;;;;;;;1
27;Ballett Company;17:45:00;18:15:00;Freitag;ARTICO 4er;12;;;;;;;1
28;Circusjuniors;16:30:00;17:30:00;Montag;ARTICO 1er;9;36;35;;;;;3
30;Ballett Postbauer-Heng;15:30:00;16:15:00;Donnerstag;Postbauer-Heng;14;;;;;;;1
31;Circusturnen Altdorf;16:00:00;17:00:00;Donnerstag;Altdorf;17;53;;;;;;2
32;Circusjuniors Mühlhausen;15:30:00;16:30:00;Freitag;Mühlhausen;6;29;56;;;;;3
37;Ballett Attitudes 2;13:45:00;15:15:00;Freitag;ARTICO 4er;12;;;;;;;1
38;Circuskids;15:30:00;16:30:00;Dienstag;ARTICO 1er;9;40;;;;;;2
39;Streetstyle Postbauer-Heng;17:30:00;18:30:00;Donnerstag;Postbauer-Heng;14;;;;;;;1
40;Ballettsternchen Postbauer-Heng;14:30:00;15:30:00;Donnerstag;Postbauer-Heng;14;;;;;;;1
41;Circuskids;15:00:00;16:00:00;Donnerstag;ARTICO 1er;3;50;;;;;;2
42;Elfenballett;16:00:00;16:45:00;Donnerstag;ARTICO 4er;12;;;;;;;1
43;Streetstyle Kids;16:15:00;17:15:00;Donnerstag;ARTICO 2er;7;;;;;;;1
45;Circusminis;16:15:00;17:00:00;Donnerstag;ARTICO 3er;9;38;;;;;;2
46;Circussternchen;16:45:00;17:30:00;Mittwoch;ARTICO 1er;6;43;;;;;PRÜFEN!!!;2
49;Circuskids;17:00:00;18:00:00;Donnerstag;ARTICO 3er;9;38;;;;;;2
50;Ballett Jetés;14:45:00;15:45:00;Montag;ARTICO 4er;12;;;;;;;1
51;Circussternchen Freystadt;15:15:00;16:00:00;Donnerstag;Freystadt;6;54;;;;;;2
52;Tanzwerkstatt;20:00:00;21:00:00;Freitag;ARTICO 1er;20;55;;;;;;2
57;Circussternchen;17:00:00;17:45:00;Donnerstag;ARTICO 1er;3;50;;;;;;2
58;HipHop Juniors;17:00:00;18:00:00;Dienstag;ARTICO 4er;21;;;;;;Prüfen!!!;1
59;Orientalischer Tanz;20:00:00;21:00:00;Montag;ARTICO 2er;22;;;;;;;1
60;Ballett Attitude;15:45:00;17:15:00;Montag;ARTICO 4er;12;;;;;;;1
61;Circusminis;16:30:00;17:15:00;Dienstag;ARTICO 3er;31;41;;;;;;2
62;Circuskids;16:15:00;17:15:00;Mittwoch;ARTICO 3er;13;45;;;;;;2
63;Ballett Arabesque;15:00:00;16:00:00;Donnerstag;ARTICO 4er;12;;;;;;;1
64;Jugendtanzclub Masters;19:30:00;20:30:00;Dienstag;ARTICO 1er;20;;;;;;;1
65;Tanzclub;20:30:00;21:30:00;Dienstag;ARTICO 1er;20;;;;;;;0
67;Circussternchen;15:00:00;15:45:00;Montag;ARTICO 1er;9;33;34;;;;;3
68;Ballett Relevés;17:15:00;18:15:00;Montag;ARTICO 4er;12;;;;;;;1
69;Circuszwerge;15:45:00;16:30:00;Dienstag;ARTICO 3er;31;41;;;;;;2
70;Ballett Advanced;16:15:00;17:45:00;Freitag;ARTICO 4er;12;;;;;;;1
71;Zumba;17:30:00;18:30:00;Montag;ARTICO 1er;18;;;;;;;1
73;Irish Dance, Fortgeschritten;19:00:00;21:00:00;Mittwoch;ARTICO 2er;23;;;;;;;1
74;Zumba;09:00:00;10:00:00;Montag;ARTICO 1er;24;;;;;;;1
75;Circuszwerge;15:30:00;16:15:00;Donnerstag;ARTICO 3er;9;51;;;;;;2
77;Einsteiger Bauchtanz;19:00:00;20:00:00;Montag;ARTICO 2er;22;;;;;;;1
