Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
FP1;Pilates;08:30:00;09:30:00;Dienstag;ARTICO 1er;,003,,088,;Ferienkurs;;Fitness und Gesundheit;1
C42;Circuskids;15:30:00;16:30:00;Dienstag;ARTICO 1er;,009,,040,;;;Circus;2
C61;Circusteens;16:30:00;17:30:00;Dienstag;ARTICO 1er;,009,,040,;;;Circus;2
C52;Circusjuniors;17:30:00;18:30:00;Dienstag;ARTICO 1er;,009,,043,;;;Circus;2
G61;Kindertanzclub Juniors;17:30:00;18:30:00;Dienstag;ARTICO 1er;,020,;;;Gesellschaftstanz;1
G41;Jugendtanzclub Jusis;18:30:00;19:30:00;Dienstag;ARTICO 1er;,020,;;;Gesellschaftstanz;1
G31;Tanzkreis;19:30:00;20:30:00;Dienstag;ARTICO 1er;,020,;;;Gesellschaftstanz;1
B31;Ballettsternchen;15:45:00;16:30:00;Dienstag;ARTICO 2er;,027,;;;Ballett;1
B11;Feenballett;16:30:00;17:15:00;Dienstag;ARTICO 2er;,027,;;;Ballett;1
FReh;Reha-Sport Di;17:45:00;18:30:00;Dienstag;ARTICO 2er;,015,;;;Fitness und Gesundheit;1
FR1;Rückenfit;18:30:00;19:30:00;Dienstag;ARTICO 2er;,015,;;;Fitness und Gesundheit;1
SC3;Salsa Cubana & Rueda;19:30:00;20:30:00;Dienstag;ARTICO 2er;,019,;Ferienkurs;;Salsa Cubana;1
Baldonis;Turnen & Tanz;15:00:00;15:45:00;Dienstag;ARTICO 3er;,006,,044,;;;Circusverein;2
C12;Circuszwerge;15:45:00;16:30:00;Dienstag;ARTICO 3er;,031,,043,;;;Circus;2
C22;Circusminis;16:30:00;17:15:00;Dienstag;ARTICO 3er;,031,,043,;;;Circus;2
Menikellis;Turnen & Tanz;17:15:00;18:00:00;Dienstag;ARTICO 3er;,006,,044,;;;Circusverein;2
KG4;Rüdiger;10:00:00;10:45:00;Dienstag;ARTICO 4er;;;externe Raumbelegung;;0
MH2;HipHop Juniors;17:00:00;18:00:00;Dienstag;ARTICO 4er;,021,;;;Modern;1
MH4;HipHop Jugend;18:00:00;19:00:00;Dienstag;ARTICO 4er;,021,;;;Modern;1
MH6;HipHop Erwachsene;19:00:00;20:30:00;Dienstag;ARTICO 4er;,021,;;;Modern;1
MS5;Streetstyle Erwachsene;20:30:00;21:30:00;Dienstag;ARTICO 4er;,021,;;;Streetstyle;1
Baldonis;Bewegungskünste;15:45:00;16:30:00;Dienstag;ARTICO 5er;,006,,044,;;;Circusverein;2
Menikellis;Bewegungskünste;16:30:00;17:15:00;Dienstag;ARTICO 5er;,006,,044,;;;Circusverein;2
FZ3;Zumba;19:15:00;20:15:00;Dienstag;ARTICO 5er;,024,;Ferienkurs;;Fitness und Gesundheit;1
AS1;Circus Haus St. Marien Di;13:00:00;13:45:00;Dienstag;Haus St. Marien;,006,;;;Projekt;1
CL1;Circuszwerge Lauterhofen;16:15:00;17:00:00;Dienstag;Lauterhofen;,001,,042,;;;Circus;2
CL2;Circusjuniors Lauterhofen;17:00:00;18:00:00;Dienstag;Lauterhofen;,001,,042,;;;Circus;2
CLfa;Fahrt nach Lauterhofen 1h;15:15:00;16:15:00;Dienstag;on the road;,000,;;;Circus;1
SS1;Salsa Einsteiger Schwarzenbruck;19:00:00;20:00:00;Dienstag;Schwarzenbruck;,032,;;;Salsa Außenstelle;1
SS2;Salsa Fortgeschritten Schwarzenbruck;20:00:00;21:00:00;Dienstag;Schwarzenbruck;,032,;;;Salsa Außenstelle;1
AT1;Schule Theo-Betz1;12:15:00;13:00:00;Dienstag;Turnerheim;,001,,006,;;;Projekt;2
AT2;Schule Theo-Betz2;13:00:00;14:45:00;Dienstag;Turnerheim;,001,;;;Projekt;1
Sambesis;Turnen & Tanz;15:00:00;15:45:00;Dienstag;Turnerheim;,001,,004,,088,;;;Circusverein;2
